<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SOLUSDT,1,241112,031800,217.26000000,217.33000000,217.00000000,217.04000000,3276.39200000
SOLUSDT,1,241112,031700,217.16000000,217.26000000,216.76000000,217.25000000,4330.74000000
SOLUSDT,1,241112,031600,217.10000000,217.42000000,217.10000000,217.17000000,2740.36800000
SOLUSDT,1,241112,031500,217.03000000,217.19000000,216.84000000,217.10000000,3149.35100000
SOLUSDT,1,241112,031400,216.80000000,217.03000000,216.64000000,217.03000000,3363.28500000
SOLUSDT,1,241112,031300,217.15000000,217.40000000,216.81000000,216.81000000,5889.86000000
SOLUSDT,1,241112,031200,217.25000000,217.32000000,217.05000000,217.16000000,3310.60100000
SOLUSDT,1,241112,031100,217.29000000,217.32000000,216.93000000,217.25000000,2865.04800000
SOLUSDT,1,241112,031000,217.21000000,217.36000000,217.04000000,217.30000000,2274.36100000
SOLUSDT,1,241112,030900,217.21000000,217.56000000,217.17000000,217.20000000,3905.82800000
SOLUSDT,1,241112,030800,217.27000000,217.27000000,216.93000000,217.21000000,4037.61300000
SOLUSDT,1,241112,030700,217.23000000,217.36000000,216.90000000,217.27000000,2964.84300000
SOLUSDT,1,241112,030600,216.82000000,217.35000000,216.82000000,217.22000000,3655.15600000
SOLUSDT,1,241112,030500,216.58000000,216.96000000,216.46000000,216.81000000,4533.01600000
SOLUSDT,1,241112,030400,217.40000000,217.40000000,216.52000000,216.57000000,4824.44500000
SOLUSDT,1,241112,030300,217.10000000,217.47000000,216.93000000,217.40000000,3735.38200000
SOLUSDT,1,241112,030200,217.13000000,217.49000000,217.10000000,217.11000000,3340.69900000
SOLUSDT,1,241112,030100,217.72000000,217.73000000,217.06000000,217.13000000,5963.93800000
SOLUSDT,1,241112,030000,217.59000000,218.23000000,217.59000000,217.72000000,11533.26400000
SOLUSDT,1,241112,025900,217.43000000,217.71000000,217.38000000,217.58000000,5788.29700000
SOLUSDT,1,241112,025800,216.93000000,217.44000000,216.92000000,217.43000000,7062.98800000
SOLUSDT,1,241112,025700,217.28000000,217.53000000,216.80000000,216.92000000,7567.55700000
SOLUSDT,1,241112,025600,216.48000000,217.27000000,216.30000000,217.27000000,12914.51900000
SOLUSDT,1,241112,025500,215.44000000,216.53000000,215.42000000,216.47000000,9440.91800000
SOLUSDT,1,241112,025400,215.70000000,215.86000000,215.25000000,215.44000000,7953.11600000
SOLUSDT,1,241112,025300,216.10000000,216.22000000,215.61000000,215.70000000,8343.58900000
SOLUSDT,1,241112,025200,216.55000000,216.64000000,216.01000000,216.10000000,4453.95700000
SOLUSDT,1,241112,025100,216.58000000,216.65000000,216.29000000,216.55000000,4239.37500000
SOLUSDT,1,241112,025000,216.90000000,217.05000000,216.33000000,216.58000000,7439.17600000
SOLUSDT,1,241112,024900,217.33000000,217.33000000,216.78000000,216.90000000,4082.41700000
SOLUSDT,1,241112,024800,217.83000000,217.94000000,217.31000000,217.34000000,2311.97700000
SOLUSDT,1,241112,024700,217.51000000,217.96000000,217.32000000,217.84000000,2659.23100000
SOLUSDT,1,241112,024600,217.43000000,217.71000000,217.21000000,217.50000000,5672.30900000
SOLUSDT,1,241112,024500,217.21000000,217.55000000,216.91000000,217.44000000,4237.63400000
SOLUSDT,1,241112,024400,217.62000000,217.74000000,216.92000000,217.21000000,7343.56800000
SOLUSDT,1,241112,024300,217.54000000,217.89000000,217.41000000,217.62000000,3596.77300000
SOLUSDT,1,241112,024200,217.62000000,217.67000000,217.36000000,217.54000000,1785.66800000
SOLUSDT,1,241112,024100,217.64000000,217.72000000,217.24000000,217.62000000,3172.02000000
SOLUSDT,1,241112,024000,217.28000000,217.80000000,217.25000000,217.64000000,3255.62200000
SOLUSDT,1,241112,023900,216.93000000,217.35000000,216.85000000,217.29000000,5027.40900000
SOLUSDT,1,241112,023800,217.47000000,217.48000000,216.92000000,216.93000000,6508.94200000
SOLUSDT,1,241112,023700,217.84000000,217.88000000,217.40000000,217.47000000,3378.60300000
SOLUSDT,1,241112,023600,217.91000000,218.20000000,217.66000000,217.84000000,6046.47300000
SOLUSDT,1,241112,023500,217.36000000,218.00000000,217.25000000,217.90000000,4494.06900000
SOLUSDT,1,241112,023400,217.28000000,217.50000000,217.19000000,217.35000000,2681.27500000
SOLUSDT,1,241112,023300,217.88000000,217.88000000,217.10000000,217.28000000,9326.72900000
SOLUSDT,1,241112,023200,217.85000000,217.92000000,217.29000000,217.89000000,9420.90700000
SOLUSDT,1,241112,023100,218.35000000,218.65000000,217.84000000,217.85000000,17554.26800000
SOLUSDT,1,241112,023000,218.62000000,218.87000000,218.28000000,218.35000000,2449.10900000
SOLUSDT,1,241112,022900,218.55000000,218.75000000,218.52000000,218.62000000,2508.08700000
SOLUSDT,1,241112,022800,218.50000000,218.78000000,218.38000000,218.55000000,2876.00900000
SOLUSDT,1,241112,022700,218.95000000,218.95000000,218.35000000,218.49000000,4600.35300000
SOLUSDT,1,241112,022600,218.84000000,219.11000000,218.83000000,218.95000000,4961.31200000
SOLUSDT,1,241112,022500,218.72000000,219.00000000,218.53000000,218.83000000,4491.85400000
SOLUSDT,1,241112,022400,218.42000000,218.73000000,218.38000000,218.72000000,2713.21600000
SOLUSDT,1,241112,022300,218.99000000,218.99000000,218.30000000,218.42000000,7236.30900000
SOLUSDT,1,241112,022200,219.34000000,219.36000000,218.81000000,218.98000000,3882.54700000
SOLUSDT,1,241112,022100,219.60000000,219.78000000,219.26000000,219.35000000,4511.67200000
SOLUSDT,1,241112,022000,219.57000000,219.67000000,219.33000000,219.60000000,3250.53400000
SOLUSDT,1,241112,021900,218.87000000,219.64000000,218.87000000,219.57000000,2335.99900000
SOLUSDT,1,241112,021800,219.54000000,219.62000000,218.82000000,218.87000000,5422.10600000
SOLUSDT,1,241112,021700,219.56000000,219.64000000,219.34000000,219.55000000,1938.87800000
SOLUSDT,1,241112,021600,219.68000000,219.71000000,219.33000000,219.56000000,3033.21000000
SOLUSDT,1,241112,021500,219.56000000,219.75000000,219.45000000,219.69000000,1658.05600000
SOLUSDT,1,241112,021400,219.63000000,219.74000000,219.55000000,219.55000000,805.51900000
SOLUSDT,1,241112,021300,219.50000000,219.69000000,219.49000000,219.63000000,1001.12000000
SOLUSDT,1,241112,021200,219.34000000,219.60000000,219.15000000,219.49000000,2094.76000000
SOLUSDT,1,241112,021100,219.16000000,219.39000000,219.16000000,219.34000000,2227.32600000
SOLUSDT,1,241112,021000,219.33000000,219.33000000,218.93000000,219.16000000,2436.97800000
SOLUSDT,1,241112,020900,219.32000000,219.41000000,219.16000000,219.34000000,1947.63100000
SOLUSDT,1,241112,020800,219.72000000,219.79000000,219.31000000,219.32000000,2498.52400000
SOLUSDT,1,241112,020700,219.48000000,219.76000000,219.34000000,219.73000000,1918.57500000
SOLUSDT,1,241112,020600,219.86000000,219.86000000,219.42000000,219.48000000,2239.03200000
SOLUSDT,1,241112,020500,219.50000000,219.93000000,219.40000000,219.86000000,2662.16800000
SOLUSDT,1,241112,020400,219.65000000,219.67000000,219.32000000,219.50000000,2660.69600000
SOLUSDT,1,241112,020300,219.69000000,219.77000000,219.49000000,219.66000000,3267.90200000
SOLUSDT,1,241112,020200,219.30000000,219.72000000,219.28000000,219.70000000,4067.38500000
SOLUSDT,1,241112,020100,219.30000000,219.31000000,218.86000000,219.29000000,2942.29400000
SOLUSDT,1,241112,020000,218.97000000,219.36000000,218.81000000,219.30000000,2909.97700000
SOLUSDT,1,241112,015900,218.64000000,219.14000000,218.64000000,218.98000000,2601.70000000
SOLUSDT,1,241112,015800,218.75000000,218.92000000,218.57000000,218.63000000,2380.30500000
SOLUSDT,1,241112,015700,218.83000000,219.07000000,218.73000000,218.76000000,5814.49100000
SOLUSDT,1,241112,015600,218.94000000,219.10000000,218.64000000,218.82000000,2686.77500000
SOLUSDT,1,241112,015500,219.32000000,219.39000000,218.91000000,218.94000000,8173.56000000
SOLUSDT,1,241112,015400,219.81000000,219.82000000,219.31000000,219.32000000,2790.52000000
SOLUSDT,1,241112,015300,219.38000000,219.92000000,219.38000000,219.81000000,4164.58400000
SOLUSDT,1,241112,015200,219.41000000,219.47000000,219.00000000,219.38000000,11681.11900000
SOLUSDT,1,241112,015100,219.72000000,219.72000000,219.32000000,219.42000000,4061.45900000
SOLUSDT,1,241112,015000,220.02000000,220.04000000,219.73000000,219.73000000,6115.23400000
SOLUSDT,1,241112,014900,220.06000000,220.15000000,220.00000000,220.02000000,17443.52400000
SOLUSDT,1,241112,014800,220.45000000,220.45000000,220.00000000,220.06000000,6204.98400000
SOLUSDT,1,241112,014700,220.44000000,220.79000000,220.38000000,220.45000000,3559.62600000
SOLUSDT,1,241112,014600,220.65000000,220.67000000,220.23000000,220.44000000,4519.95900000
SOLUSDT,1,241112,014500,220.80000000,220.94000000,220.57000000,220.66000000,3248.26000000
SOLUSDT,1,241112,014400,221.22000000,221.27000000,220.75000000,220.80000000,3483.42700000
SOLUSDT,1,241112,014300,221.06000000,221.41000000,220.84000000,221.23000000,4024.77300000
SOLUSDT,1,241112,014200,221.09000000,221.23000000,220.84000000,221.06000000,3432.43100000
SOLUSDT,1,241112,014100,220.97000000,221.22000000,220.82000000,221.09000000,3366.16600000
SOLUSDT,1,241112,014000,221.08000000,221.37000000,220.82000000,220.97000000,5722.35800000
SOLUSDT,1,241112,013900,221.31000000,221.41000000,221.08000000,221.09000000,7022.81800000
SOLUSDT,1,241112,013800,220.97000000,221.33000000,220.95000000,221.30000000,16949.59000000
SOLUSDT,1,241112,013700,220.91000000,221.00000000,220.75000000,220.97000000,12152.20300000
SOLUSDT,1,241112,013600,220.96000000,221.02000000,220.64000000,220.91000000,6529.53700000
SOLUSDT,1,241112,013500,221.05000000,221.20000000,220.89000000,220.95000000,5579.58600000
SOLUSDT,1,241112,013400,220.58000000,221.06000000,220.56000000,221.05000000,6164.26900000
SOLUSDT,1,241112,013300,220.17000000,220.62000000,220.17000000,220.57000000,6823.00800000
SOLUSDT,1,241112,013200,219.65000000,220.21000000,219.50000000,220.17000000,3809.57700000
SOLUSDT,1,241112,013100,219.78000000,220.25000000,219.58000000,219.64000000,9629.63500000
SOLUSDT,1,241112,013000,219.43000000,219.86000000,219.26000000,219.79000000,5554.14200000
SOLUSDT,1,241112,012900,219.64000000,219.69000000,219.34000000,219.43000000,2393.97100000
SOLUSDT,1,241112,012800,219.08000000,219.95000000,218.98000000,219.63000000,4514.40100000
SOLUSDT,1,241112,012700,219.00000000,219.54000000,219.00000000,219.09000000,4803.13900000
SOLUSDT,1,241112,012600,219.68000000,219.69000000,219.00000000,219.01000000,4847.91000000
SOLUSDT,1,241112,012500,220.19000000,220.26000000,219.58000000,219.68000000,5634.76200000
SOLUSDT,1,241112,012400,219.48000000,220.19000000,219.37000000,220.18000000,6900.51600000
SOLUSDT,1,241112,012300,219.30000000,219.59000000,219.14000000,219.48000000,6679.88100000
SOLUSDT,1,241112,012200,219.81000000,219.97000000,219.27000000,219.30000000,4340.74700000
SOLUSDT,1,241112,012100,220.84000000,220.86000000,219.80000000,219.81000000,4825.92700000
SOLUSDT,1,241112,012000,220.51000000,220.87000000,220.37000000,220.84000000,5574.58600000
SOLUSDT,1,241112,011900,220.74000000,220.81000000,220.45000000,220.52000000,6910.18400000
SOLUSDT,1,241112,011800,220.58000000,220.75000000,220.49000000,220.72000000,5357.63500000
SOLUSDT,1,241112,011700,220.52000000,220.60000000,220.13000000,220.59000000,2988.77000000
SOLUSDT,1,241112,011600,219.96000000,220.58000000,219.96000000,220.53000000,6012.96700000
SOLUSDT,1,241112,011500,219.57000000,220.24000000,218.94000000,219.97000000,14787.54900000
SOLUSDT,1,241112,011400,219.49000000,219.74000000,219.37000000,219.57000000,4035.59800000
SOLUSDT,1,241112,011300,219.35000000,219.76000000,219.25000000,219.49000000,4744.50700000
SOLUSDT,1,241112,011200,219.31000000,219.68000000,219.08000000,219.36000000,5934.46100000
SOLUSDT,1,241112,011100,219.06000000,219.46000000,218.96000000,219.30000000,5029.32200000
SOLUSDT,1,241112,011000,219.64000000,219.81000000,218.95000000,219.06000000,5354.82900000
SOLUSDT,1,241112,010900,219.44000000,219.73000000,219.26000000,219.63000000,2543.86000000
SOLUSDT,1,241112,010800,219.57000000,219.63000000,219.07000000,219.47000000,5707.15400000
SOLUSDT,1,241112,010700,219.16000000,219.58000000,218.90000000,219.58000000,5484.80800000
SOLUSDT,1,241112,010600,219.58000000,219.60000000,218.81000000,219.14000000,7352.97300000
SOLUSDT,1,241112,010500,220.05000000,220.21000000,219.36000000,219.58000000,4729.62400000
SOLUSDT,1,241112,010400,219.79000000,220.08000000,219.36000000,220.08000000,6151.22100000
SOLUSDT,1,241112,010300,218.59000000,219.86000000,218.52000000,219.79000000,10137.21000000
SOLUSDT,1,241112,010200,219.76000000,220.00000000,218.30000000,218.60000000,14466.35600000
SOLUSDT,1,241112,010100,219.87000000,220.05000000,219.63000000,219.76000000,10079.29200000
SOLUSDT,1,241112,010000,220.46000000,220.47000000,219.80000000,219.86000000,7375.15500000
SOLUSDT,1,241112,005900,220.77000000,220.77000000,220.35000000,220.46000000,5592.16500000
SOLUSDT,1,241112,005800,220.29000000,220.78000000,220.11000000,220.77000000,6581.33200000
SOLUSDT,1,241112,005700,219.89000000,220.43000000,219.83000000,220.29000000,5906.04900000
SOLUSDT,1,241112,005600,220.39000000,220.39000000,219.61000000,219.88000000,5895.68800000
SOLUSDT,1,241112,005500,219.90000000,220.46000000,219.85000000,220.39000000,5228.57400000
SOLUSDT,1,241112,005400,220.08000000,220.12000000,219.58000000,219.90000000,6162.90500000
SOLUSDT,1,241112,005300,219.40000000,220.23000000,219.39000000,220.08000000,4997.82500000
SOLUSDT,1,241112,005200,219.81000000,219.97000000,219.37000000,219.40000000,2629.48400000
SOLUSDT,1,241112,005100,219.79000000,219.99000000,219.62000000,219.81000000,3715.53100000
SOLUSDT,1,241112,005000,219.90000000,220.04000000,219.59000000,219.79000000,5296.84500000
SOLUSDT,1,241112,004900,219.65000000,219.88000000,219.49000000,219.88000000,8026.14000000
SOLUSDT,1,241112,004800,219.67000000,219.95000000,219.51000000,219.65000000,4148.55800000
SOLUSDT,1,241112,004700,219.52000000,219.98000000,219.36000000,219.68000000,5419.86800000
SOLUSDT,1,241112,004600,219.76000000,219.93000000,219.47000000,219.51000000,11155.58100000
SOLUSDT,1,241112,004500,218.86000000,219.79000000,218.86000000,219.76000000,15518.18300000
SOLUSDT,1,241112,004400,218.77000000,218.91000000,218.39000000,218.86000000,3682.85100000
SOLUSDT,1,241112,004300,218.63000000,219.06000000,218.60000000,218.77000000,7310.16900000
SOLUSDT,1,241112,004200,218.68000000,218.78000000,218.14000000,218.63000000,5360.23000000
SOLUSDT,1,241112,004100,218.98000000,219.04000000,218.55000000,218.69000000,1405.34200000
SOLUSDT,1,241112,004000,218.93000000,219.11000000,218.50000000,218.97000000,3984.07600000
SOLUSDT,1,241112,003900,218.71000000,219.23000000,218.63000000,218.94000000,5189.34100000
SOLUSDT,1,241112,003800,218.82000000,218.92000000,218.20000000,218.70000000,5106.36100000
SOLUSDT,1,241112,003700,219.16000000,219.17000000,218.50000000,218.82000000,5821.12000000
SOLUSDT,1,241112,003600,219.12000000,219.34000000,218.80000000,219.17000000,3297.64800000
SOLUSDT,1,241112,003500,219.26000000,219.43000000,218.80000000,219.12000000,3939.19500000
SOLUSDT,1,241112,003400,219.28000000,219.55000000,218.98000000,219.27000000,4395.82000000
SOLUSDT,1,241112,003300,219.45000000,219.56000000,218.89000000,219.28000000,6380.84300000
SOLUSDT,1,241112,003200,218.92000000,219.80000000,218.57000000,219.46000000,8991.43100000
SOLUSDT,1,241112,003100,219.58000000,219.63000000,218.81000000,218.92000000,8738.05900000
SOLUSDT,1,241112,003000,220.47000000,220.81000000,219.33000000,219.58000000,15021.51100000
SOLUSDT,1,241112,002900,220.06000000,220.57000000,219.98000000,220.47000000,7462.74900000
SOLUSDT,1,241112,002800,219.96000000,220.60000000,219.96000000,220.06000000,5942.93800000
SOLUSDT,1,241112,002700,219.45000000,220.40000000,219.36000000,219.96000000,10941.43800000
SOLUSDT,1,241112,002600,218.57000000,219.49000000,218.44000000,219.46000000,6021.43000000
SOLUSDT,1,241112,002500,218.36000000,218.70000000,218.18000000,218.56000000,5543.04200000
SOLUSDT,1,241112,002400,218.64000000,218.81000000,217.97000000,218.36000000,5920.78500000
SOLUSDT,1,241112,002300,218.08000000,218.66000000,217.55000000,218.64000000,7673.91900000
SOLUSDT,1,241112,002200,217.75000000,218.20000000,217.16000000,218.07000000,7098.95300000
SOLUSDT,1,241112,002100,215.98000000,218.20000000,215.98000000,217.75000000,28402.36400000
SOLUSDT,1,241112,002000,215.88000000,216.51000000,215.00000000,215.97000000,48668.24100000
SOLUSDT,1,241112,001900,216.93000000,217.11000000,215.84000000,215.87000000,19534.40900000
SOLUSDT,1,241112,001800,218.09000000,218.15000000,216.81000000,216.93000000,28880.36900000
SOLUSDT,1,241112,001700,218.34000000,218.37000000,217.92000000,218.10000000,21081.94600000
SOLUSDT,1,241112,001600,218.80000000,218.93000000,218.29000000,218.34000000,7568.48900000
SOLUSDT,1,241112,001500,218.90000000,219.30000000,218.66000000,218.79000000,7017.49900000
SOLUSDT,1,241112,001400,218.95000000,219.22000000,218.86000000,218.90000000,6306.67000000
SOLUSDT,1,241112,001300,218.99000000,219.26000000,218.84000000,218.94000000,4055.38000000
SOLUSDT,1,241112,001200,219.75000000,219.75000000,218.93000000,219.00000000,4759.67900000
SOLUSDT,1,241112,001100,219.86000000,219.86000000,219.50000000,219.75000000,3479.48800000
SOLUSDT,1,241112,001000,219.72000000,220.00000000,219.53000000,219.86000000,3103.28600000
SOLUSDT,1,241112,000900,219.11000000,219.86000000,219.11000000,219.72000000,4911.44200000
SOLUSDT,1,241112,000800,219.38000000,219.60000000,219.00000000,219.11000000,10449.54900000
SOLUSDT,1,241112,000700,219.90000000,220.34000000,219.11000000,219.37000000,11089.55900000
SOLUSDT,1,241112,000600,220.30000000,220.67000000,219.91000000,219.91000000,8917.49700000
SOLUSDT,1,241112,000500,219.74000000,220.67000000,219.71000000,220.31000000,6348.38000000
SOLUSDT,1,241112,000400,220.12000000,220.26000000,219.32000000,219.74000000,12459.92000000
SOLUSDT,1,241112,000300,220.80000000,220.93000000,220.00000000,220.11000000,10579.47100000
SOLUSDT,1,241112,000200,221.57000000,221.59000000,220.74000000,220.79000000,4198.00000000
SOLUSDT,1,241112,000100,222.09000000,222.11000000,221.50000000,221.57000000,3666.33600000
SOLUSDT,1,241112,000000,222.12000000,222.57000000,222.06000000,222.08000000,4415.00100000
SOLUSDT,1,241111,235900,222.30000000,222.40000000,222.01000000,222.13000000,3391.48800000
SOLUSDT,1,241111,235800,222.32000000,222.51000000,222.02000000,222.29000000,4748.40600000
SOLUSDT,1,241111,235700,222.34000000,222.65000000,222.18000000,222.31000000,3696.32000000
SOLUSDT,1,241111,235600,222.69000000,222.91000000,222.34000000,222.34000000,4341.61100000
SOLUSDT,1,241111,235500,222.78000000,222.96000000,222.63000000,222.68000000,4343.39800000
SOLUSDT,1,241111,235400,222.69000000,222.96000000,222.29000000,222.78000000,3560.34800000
SOLUSDT,1,241111,235300,223.00000000,223.05000000,222.58000000,222.70000000,3763.52200000
SOLUSDT,1,241111,235200,223.24000000,223.28000000,222.66000000,222.99000000,8471.89500000
SOLUSDT,1,241111,235100,222.89000000,223.33000000,222.81000000,223.25000000,9460.78700000
SOLUSDT,1,241111,235000,222.68000000,222.94000000,222.56000000,222.89000000,4105.39900000
SOLUSDT,1,241111,234900,222.60000000,222.91000000,222.57000000,222.68000000,3029.93800000
SOLUSDT,1,241111,234800,222.36000000,222.64000000,222.30000000,222.59000000,3196.40800000
SOLUSDT,1,241111,234700,222.19000000,222.56000000,222.16000000,222.37000000,3067.69300000
SOLUSDT,1,241111,234600,221.61000000,222.39000000,221.61000000,222.18000000,4706.11500000
SOLUSDT,1,241111,234500,221.73000000,222.09000000,221.53000000,221.62000000,5578.94100000
SOLUSDT,1,241111,234400,221.68000000,221.96000000,221.06000000,221.73000000,9746.54400000
SOLUSDT,1,241111,234300,221.86000000,222.03000000,221.46000000,221.68000000,4998.96300000
SOLUSDT,1,241111,234200,222.10000000,222.26000000,221.73000000,221.86000000,7578.55900000
SOLUSDT,1,241111,234100,222.15000000,222.24000000,221.89000000,222.11000000,3587.46600000
SOLUSDT,1,241111,234000,222.46000000,222.47000000,221.91000000,222.16000000,5898.61800000
SOLUSDT,1,241111,233900,223.09000000,223.13000000,222.37000000,222.47000000,4450.84800000
SOLUSDT,1,241111,233800,222.80000000,223.30000000,222.77000000,223.09000000,4587.23700000
SOLUSDT,1,241111,233700,222.20000000,223.00000000,222.18000000,222.80000000,6159.10000000
SOLUSDT,1,241111,233600,222.77000000,223.12000000,222.14000000,222.20000000,5903.73900000
SOLUSDT,1,241111,233500,222.66000000,223.24000000,222.38000000,222.78000000,5676.93400000
SOLUSDT,1,241111,233400,223.05000000,223.66000000,222.64000000,222.66000000,21314.10100000
SOLUSDT,1,241111,233300,222.66000000,223.18000000,222.66000000,223.06000000,3405.84100000
SOLUSDT,1,241111,233200,222.30000000,222.81000000,222.24000000,222.66000000,12789.66300000
SOLUSDT,1,241111,233100,222.71000000,222.92000000,222.28000000,222.31000000,4143.65000000
SOLUSDT,1,241111,233000,222.23000000,222.76000000,222.11000000,222.71000000,6071.48000000
SOLUSDT,1,241111,232900,221.43000000,222.29000000,221.36000000,222.24000000,9941.90200000
SOLUSDT,1,241111,232800,221.76000000,222.01000000,221.36000000,221.42000000,13992.86600000
SOLUSDT,1,241111,232700,222.39000000,222.55000000,221.59000000,221.77000000,19978.38100000
SOLUSDT,1,241111,232600,222.72000000,222.77000000,222.10000000,222.39000000,8850.08800000
SOLUSDT,1,241111,232500,223.99000000,224.00000000,222.45000000,222.72000000,16933.48200000
SOLUSDT,1,241111,232400,223.75000000,224.00000000,223.59000000,223.99000000,32191.21600000
SOLUSDT,1,241111,232300,223.36000000,223.84000000,223.21000000,223.74000000,28982.68100000
SOLUSDT,1,241111,232200,222.65000000,223.42000000,222.29000000,223.36000000,26206.66300000
SOLUSDT,1,241111,232100,222.33000000,222.81000000,222.22000000,222.65000000,19911.94700000
SOLUSDT,1,241111,232000,221.67000000,222.50000000,221.64000000,222.33000000,21412.24900000
SOLUSDT,1,241111,231900,221.01000000,221.69000000,220.78000000,221.68000000,12529.06200000
SOLUSDT,1,241111,231800,220.73000000,221.26000000,220.55000000,221.02000000,11207.01300000
SOLUSDT,1,241111,231700,220.47000000,220.94000000,220.29000000,220.74000000,5929.50100000
SOLUSDT,1,241111,231600,219.76000000,220.47000000,219.66000000,220.46000000,5223.84800000
SOLUSDT,1,241111,231500,220.30000000,220.54000000,219.53000000,219.75000000,8038.31900000
SOLUSDT,1,241111,231400,219.97000000,220.80000000,219.96000000,220.31000000,8042.96400000
SOLUSDT,1,241111,231300,219.94000000,220.53000000,219.51000000,219.96000000,12037.84700000
SOLUSDT,1,241111,231200,219.98000000,220.21000000,219.73000000,219.94000000,10001.37900000
SOLUSDT,1,241111,231100,220.44000000,220.61000000,219.97000000,219.97000000,7057.49100000
SOLUSDT,1,241111,231000,220.38000000,220.63000000,220.11000000,220.43000000,14227.34400000
SOLUSDT,1,241111,230900,220.49000000,220.85000000,220.27000000,220.37000000,12696.39700000
SOLUSDT,1,241111,230800,220.01000000,220.53000000,220.00000000,220.49000000,3854.92600000
SOLUSDT,1,241111,230700,220.51000000,220.64000000,220.00000000,220.01000000,5751.22300000
SOLUSDT,1,241111,230600,221.12000000,221.55000000,220.15000000,220.50000000,17012.75600000
SOLUSDT,1,241111,230500,221.53000000,221.53000000,220.68000000,221.13000000,9917.17500000
SOLUSDT,1,241111,230400,221.33000000,221.60000000,221.28000000,221.53000000,10014.02000000
SOLUSDT,1,241111,230300,221.45000000,221.47000000,220.99000000,221.32000000,4952.94200000
SOLUSDT,1,241111,230200,221.22000000,221.49000000,221.09000000,221.46000000,8084.17800000
SOLUSDT,1,241111,230100,220.44000000,221.48000000,220.32000000,221.22000000,18760.97400000
SOLUSDT,1,241111,230000,220.26000000,220.47000000,220.22000000,220.44000000,3899.59600000
SOLUSDT,1,241111,225900,220.43000000,220.44000000,220.26000000,220.26000000,2476.02700000
SOLUSDT,1,241111,225800,220.30000000,220.45000000,220.29000000,220.43000000,2152.53900000
SOLUSDT,1,241111,225700,220.16000000,220.42000000,219.95000000,220.30000000,8546.21400000
SOLUSDT,1,241111,225600,220.10000000,220.20000000,220.03000000,220.16000000,1605.21900000
SOLUSDT,1,241111,225500,220.05000000,220.09000000,219.93000000,220.09000000,2137.91000000
SOLUSDT,1,241111,225400,219.86000000,220.13000000,219.77000000,220.05000000,3615.59100000
SOLUSDT,1,241111,225300,219.90000000,220.03000000,219.56000000,219.86000000,4907.51800000
SOLUSDT,1,241111,225200,219.76000000,219.95000000,219.76000000,219.90000000,2053.91200000
SOLUSDT,1,241111,225100,219.72000000,219.97000000,219.48000000,219.76000000,7721.22800000
SOLUSDT,1,241111,225000,219.58000000,219.99000000,219.55000000,219.72000000,4255.47500000
SOLUSDT,1,241111,224900,219.15000000,219.62000000,219.15000000,219.58000000,9642.92200000
SOLUSDT,1,241111,224800,218.56000000,219.19000000,218.55000000,219.15000000,4339.91500000
SOLUSDT,1,241111,224700,218.78000000,218.80000000,218.55000000,218.55000000,1176.81000000
SOLUSDT,1,241111,224600,218.74000000,218.80000000,218.68000000,218.77000000,1764.82800000
SOLUSDT,1,241111,224500,218.44000000,218.76000000,218.43000000,218.74000000,1155.49800000
SOLUSDT,1,241111,224400,218.45000000,218.46000000,218.22000000,218.44000000,1186.82600000
SOLUSDT,1,241111,224300,218.34000000,218.47000000,218.33000000,218.46000000,691.50300000
SOLUSDT,1,241111,224200,218.15000000,218.34000000,218.11000000,218.33000000,2515.57900000
SOLUSDT,1,241111,224100,218.07000000,218.22000000,217.67000000,218.16000000,2941.95900000
SOLUSDT,1,241111,224000,218.12000000,218.28000000,217.96000000,218.06000000,1174.39400000
SOLUSDT,1,241111,223900,218.55000000,218.55000000,218.10000000,218.13000000,1314.96300000
SOLUSDT,1,241111,223800,218.79000000,218.86000000,218.43000000,218.55000000,2625.99200000
SOLUSDT,1,241111,223700,218.45000000,218.80000000,218.06000000,218.79000000,3843.55400000
SOLUSDT,1,241111,223600,217.88000000,218.53000000,217.78000000,218.46000000,4224.66200000
SOLUSDT,1,241111,223500,217.60000000,217.90000000,217.50000000,217.87000000,3714.71100000
SOLUSDT,1,241111,223400,217.60000000,217.69000000,217.41000000,217.60000000,2245.70700000
SOLUSDT,1,241111,223300,217.58000000,217.64000000,217.36000000,217.60000000,2511.30600000
SOLUSDT,1,241111,223200,217.48000000,217.64000000,217.08000000,217.58000000,3810.00900000
SOLUSDT,1,241111,223100,217.61000000,217.74000000,217.48000000,217.48000000,2132.97700000
SOLUSDT,1,241111,223000,217.69000000,217.78000000,217.60000000,217.62000000,3176.80300000
SOLUSDT,1,241111,222900,217.68000000,217.89000000,217.53000000,217.71000000,3078.14800000
SOLUSDT,1,241111,222800,217.30000000,217.68000000,217.13000000,217.68000000,6170.16600000
SOLUSDT,1,241111,222700,217.57000000,217.57000000,216.92000000,217.30000000,13319.31600000
SOLUSDT,1,241111,222600,217.71000000,217.84000000,217.36000000,217.57000000,3022.42500000
SOLUSDT,1,241111,222500,218.46000000,218.66000000,217.65000000,217.70000000,5584.27800000
SOLUSDT,1,241111,222400,217.73000000,218.46000000,217.63000000,218.46000000,2137.32600000
SOLUSDT,1,241111,222300,217.96000000,218.03000000,217.72000000,217.72000000,3213.40700000
