<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SOLUSDT,1,241112,124000,209.53000000,209.93000000,209.08000000,209.19000000,5673.36600000
SOLUSDT,1,241112,123900,209.79000000,210.17000000,209.46000000,209.53000000,8319.93900000
SOLUSDT,1,241112,123800,208.81000000,209.90000000,208.80000000,209.79000000,7513.67200000
SOLUSDT,1,241112,123700,209.58000000,209.62000000,208.50000000,208.81000000,15460.70800000
SOLUSDT,1,241112,123600,209.20000000,209.83000000,209.14000000,209.59000000,10624.68100000
SOLUSDT,1,241112,123500,209.31000000,209.81000000,208.87000000,209.19000000,15296.20300000
SOLUSDT,1,241112,123400,208.61000000,209.58000000,208.60000000,209.30000000,8459.21000000
SOLUSDT,1,241112,123300,208.80000000,209.15000000,208.21000000,208.60000000,17248.36900000
SOLUSDT,1,241112,123200,208.88000000,209.12000000,208.79000000,208.80000000,11002.81000000
SOLUSDT,1,241112,123100,209.50000000,209.57000000,208.77000000,208.88000000,19231.41000000
SOLUSDT,1,241112,123000,209.64000000,210.10000000,209.40000000,209.49000000,7882.44800000
SOLUSDT,1,241112,122900,209.55000000,209.78000000,209.33000000,209.63000000,8838.87300000
SOLUSDT,1,241112,122800,209.66000000,210.02000000,209.45000000,209.54000000,7122.08500000
SOLUSDT,1,241112,122700,209.73000000,209.94000000,209.59000000,209.66000000,10524.87900000
SOLUSDT,1,241112,122600,209.95000000,210.06000000,209.64000000,209.72000000,8638.82500000
SOLUSDT,1,241112,122500,210.60000000,210.60000000,209.91000000,209.95000000,12166.81700000
SOLUSDT,1,241112,122400,210.71000000,211.07000000,210.58000000,210.60000000,11563.48700000
SOLUSDT,1,241112,122300,210.30000000,210.72000000,210.15000000,210.71000000,10557.13500000
SOLUSDT,1,241112,122200,210.40000000,210.63000000,210.30000000,210.30000000,8147.76900000
SOLUSDT,1,241112,122100,211.14000000,211.48000000,210.39000000,210.39000000,12407.63700000
SOLUSDT,1,241112,122000,211.66000000,211.72000000,211.00000000,211.14000000,9920.62400000
SOLUSDT,1,241112,121900,211.64000000,212.14000000,211.39000000,211.66000000,12058.20000000
SOLUSDT,1,241112,121800,211.77000000,211.77000000,211.36000000,211.64000000,11997.13500000
SOLUSDT,1,241112,121700,211.91000000,212.17000000,211.58000000,211.77000000,10204.09200000
SOLUSDT,1,241112,121600,212.65000000,212.78000000,211.87000000,211.92000000,7506.05900000
SOLUSDT,1,241112,121500,212.23000000,212.70000000,212.04000000,212.65000000,10597.81700000
SOLUSDT,1,241112,121400,212.27000000,212.37000000,212.13000000,212.23000000,7646.31000000
SOLUSDT,1,241112,121300,212.52000000,212.74000000,212.06000000,212.26000000,12168.76400000
SOLUSDT,1,241112,121200,212.65000000,212.82000000,212.41000000,212.53000000,8449.24600000
SOLUSDT,1,241112,121100,213.24000000,213.37000000,212.58000000,212.65000000,16639.51500000
SOLUSDT,1,241112,121000,212.86000000,213.39000000,212.77000000,213.24000000,9749.18500000
SOLUSDT,1,241112,120900,213.80000000,213.87000000,212.82000000,212.86000000,17143.93900000
SOLUSDT,1,241112,120800,212.08000000,213.98000000,212.03000000,213.79000000,21288.86400000
SOLUSDT,1,241112,120700,212.30000000,212.43000000,212.01000000,212.08000000,10098.49200000
SOLUSDT,1,241112,120600,212.24000000,212.55000000,211.79000000,212.29000000,11929.76700000
SOLUSDT,1,241112,120500,212.30000000,212.75000000,212.23000000,212.24000000,11658.14200000
SOLUSDT,1,241112,120400,212.20000000,212.50000000,212.15000000,212.30000000,8876.01000000
SOLUSDT,1,241112,120300,211.35000000,212.34000000,211.20000000,212.19000000,18163.21700000
SOLUSDT,1,241112,120200,210.91000000,211.63000000,210.58000000,211.35000000,14020.51700000
SOLUSDT,1,241112,120100,210.77000000,211.10000000,210.46000000,210.90000000,15166.24700000
SOLUSDT,1,241112,120000,211.12000000,211.62000000,210.77000000,210.77000000,13832.63600000
